Freq.	V(vinter)/(V(vinn)-V(vinp))	V(vout)/(V(vinp)-V(vinn))	V(vout)/V(vinter)
1.00000000000000e+003	(2.27791600731728e+001dB,-2.41391466837682e-002°)	(5.03195382426605e+001dB,-2.92115238811964e-002°)	(2.75403781694877e+001dB,1.79994927622803e+002°)
1.12201845430196e+003	(2.27791597910472e+001dB,-2.70845673239772e-002°)	(5.03195379517715e+001dB,-3.27758681428535e-002°)	(2.75403781607243e+001dB,1.79994308699181e+002°)
1.25892541179417e+003	(2.27791594358722e+001dB,-3.03893833399002e-002°)	(5.03195375860354e+001dB,-3.67751278826124e-002°)	(2.75403781501633e+001dB,1.79993614255457e+002°)
1.41253754462275e+003	(2.27791589879538e+001dB,-3.40974474685865e-002°)	(5.03195371238514e+001dB,-4.12623706820409e-002°)	(2.75403781358976e+001dB,1.79992835076787e+002°)
1.58489319246111e+003	(2.27791584250396e+001dB,-3.82579632568282e-002°)	(5.03195365433338e+001dB,-4.62971393151101e-002°)	(2.75403781182942e+001dB,1.79991960823942e+002°)
1.77827941003892e+003	(2.27791577163724e+001dB,-4.29261379103733e-002°)	(5.03195358134483e+001dB,-5.19462417907624e-002°)	(2.75403780970759e+001dB,1.79990979896120e+002°)
1.99526231496888e+003	(2.27791568234345e+001dB,-4.81639148085369e-002°)	(5.03195348908614e+001dB,-5.82846377983467e-002°)	(2.75403780674269e+001dB,1.79989879277010e+002°)
2.23872113856834e+003	(2.27791556994937e+001dB,-5.40407954755411e-002°)	(5.03195337325575e+001dB,-6.53964334113324e-002°)	(2.75403780330638e+001dB,1.79988644362064e+002°)
2.51188643150958e+003	(2.27791542847390e+001dB,-6.06347616427359e-002°)	(5.03195322721841e+001dB,-7.33759969217545e-002°)	(2.75403779874451e+001dB,1.79987258764721e+002°)
2.81838293126445e+003	(2.27791525038702e+001dB,-6.80333100234370e-002°)	(5.03195304367584e+001dB,-8.23292110777777e-002°)	(2.75403779328881e+001dB,1.79985704098946e+002°)
3.16227766016838e+003	(2.27791502613129e+001dB,-7.63346130763138e-002°)	(5.03195281241737e+001dB,-9.23748777939080e-002°)	(2.75403778628608e+001dB,1.79983959735282e+002°)
3.54813389233575e+003	(2.27791474385061e+001dB,-8.56488215810255e-002°)	(5.03195252127356e+001dB,-1.03646294483254e-001°)	(2.75403777742295e+001dB,1.79982002527098e+002°)
3.98107170553497e+003	(2.27791438852092e+001dB,-9.60995259400221e-002°)	(5.03195215488455e+001dB,-1.16293022495932e-001°)	(2.75403776636363e+001dB,1.79979806503444e+002°)
4.46683592150963e+003	(2.27791394115025e+001dB,-1.07825395665924e-001°)	(5.03195169334800e+001dB,-1.30482871210452e-001°)	(2.75403775219775e+001dB,1.79977342524455e+002°)
5.01187233627272e+003	(2.27791337792718e+001dB,-1.20982018988383e-001°)	(5.03195111252147e+001dB,-1.46404124333479e-001°)	(2.75403773459429e+001dB,1.79974577894655e+002°)
5.62341325190348e+003	(2.27791266883623e+001dB,-1.35743966424997e-001°)	(5.03195038131517e+001dB,-1.64268037285330e-001°)	(2.75403771247895e+001dB,1.79971475929140e+002°)
6.30957344480192e+003	(2.27791177621744e+001dB,-1.52307106109603e-001°)	(5.03194946074164e+001dB,-1.84311639318812e-001°)	(2.75403768452420e+001dB,1.79967995466791e+002°)
7.07945784384137e+003	(2.27791065244495e+001dB,-1.70891201145548e-001°)	(5.03194830170922e+001dB,-2.06800877053174e-001°)	(2.75403764926426e+001dB,1.79964090324092e+002°)
7.94328234724280e+003	(2.27790923770915e+001dB,-1.91742823406348e-001°)	(5.03194684265021e+001dB,-2.32034141089342e-001°)	(2.75403760494106e+001dB,1.79959708682317e+002°)
8.91250938133744e+003	(2.27790745671520e+001dB,-2.15138621992217e-001°)	(5.03194500590343e+001dB,-2.60346222043159e-001°)	(2.75403754918823e+001dB,1.79954792399949e+002°)
9.99999999999999e+003	(2.27790521451811e+001dB,-2.41388989398316e-001°)	(5.03194269338014e+001dB,-2.92112748185406e-001°)	(2.75403747886204e+001dB,1.79949276241213e+002°)
1.12201845430196e+004	(2.27790239186577e+001dB,-2.70842173786453e-001°)	(5.03193978229589e+001dB,-3.27755163346751e-001°)	(2.75403739043012e+001dB,1.79943087010440e+002°)
1.25892541179417e+004	(2.27789883830052e+001dB,-3.03888890259477e-001°)	(5.03193611734014e+001dB,-3.67746309364111e-001°)	(2.75403727903962e+001dB,1.79936142580895e+002°)
1.41253754462275e+004	(2.27789436470776e+001dB,-3.40967492367773e-001°)	(5.03193150348384e+001dB,-4.12616687315998e-001°)	(2.75403713877608e+001dB,1.79928350805052e+002°)
